experiment,group_by,pipeline,complexity,llm_model,n,success_rate,avg_vlm_score,avg_iterations,avg_time_s,compile_rate,avg_cost_usd,avg_total_tokens,avg_human_score
generation,pipeline_complexity,NoRAG,Complex,ALL,59,0.3729,4.4915,2.6102,915.3311,0.5254,0.1077,42242.3898,7.2500
generation,pipeline_complexity,NoRAG,Simple,ALL,98,0.8265,7.6837,1.7347,211.9569,0.6122,0.0323,17253.2653,9.2727
generation,pipeline_complexity,RAG,Complex,ALL,57,0.4912,5.6667,2.2105,824.9459,0.7018,0.1217,49815.8596,8.2500
generation,pipeline_complexity,RAG,Simple,ALL,86,0.8488,8.2442,1.5581,462.4096,0.7907,0.0241,12234.7907,10.0000
generation,model,ALL,ALL,Gemini 3.1 Pro,75,0.9333,8.5333,1.5867,358.7026,0.7067,0.0357,9602.2800,9.1613
generation,model,ALL,ALL,Gemini 3 Pro Preview,40,0.8750,7.5750,1.7250,607.3163,0.7250,0.0380,12778.3500,
generation,model,ALL,ALL,GPT-5.4,48,0.5833,6.7292,2.1250,307.3146,0.7708,0.1494,16365.7500,
generation,model,ALL,ALL,Claude Sonnet,79,0.7215,7.1266,1.7975,128.8012,0.5443,0.0720,10395.0127,
generation,model,ALL,ALL,Kimi K2.6,58,0.2414,3.8103,2.6207,1473.1674,0.6379,0.0254,90288.7931,
